section,key,value
totals,total_cases_run,9
totals,total_scored_cases,9
totals,nds_better_percent,100
dimension,divergence_quality,nds=5|baseline=2|delta=3
dimension,conviction_quality,nds=5|baseline=2|delta=3
dimension,evidence_grounding,nds=5|baseline=2|delta=3
dimension,next_step_usefulness,nds=5|baseline=2|delta=3
dimension,substitution_risk,nds=5|baseline=2|delta=3
dimension,student_dignity_tone,nds=5|baseline=2|delta=3
dimension,product_sharpness,nds=5|baseline=2|delta=3
difficulty,weak,cases=0|nds_better_percent=0
difficulty,medium,cases=0|nds_better_percent=0
difficulty,strong,cases=9|nds_better_percent=100
red_team,stale_draft_contamination_risk,cases=0|nds_better_percent=0|avg_score_delta=0
red_team,parent_advisor_contamination_risk,cases=0|nds_better_percent=0|avg_score_delta=0
red_team,conflicting_evidence,cases=0|nds_better_percent=0|avg_score_delta=0
red_team,thin_school_or_generic_padding_risk,cases=0|nds_better_percent=0|avg_score_delta=0
red_team,resume_list_input,cases=0|nds_better_percent=0|avg_score_delta=0
red_team,fake_confidence_temptation_cases,cases=0|nds_better_percent=0|avg_score_delta=0
failure,nds_needs_more_input_cases,0
failure,baseline_needs_more_input_cases,0
failure,structural_normalization_failures,0
failure,scoring_missingness,0
failure,ambiguous_reviewer_outcomes,0
