Ticket ID,Title,Type,Priority,Story Points,Owner,Status,Dependencies,Description
FM-AT-01,Define first-minute automated test architecture and ownership map,Engineering / QA,P0,3,QA Lead + Eng Lead,Not started,None,"Create canonical implementation plan for test layers, environments, owners, execution rules, and severity policy"
FM-AT-02,Create orchestrator fixture pack for first-minute automated testing,Backend / QA,P0,5,Backend,Not started,FM-AT-01,"Create reusable deterministic fixtures for all orchestrator outcomes (F1-F9)"
FM-AT-03,Implement contract tests for POST /api/intake/session request schema,Backend,P0,5,Backend,Not started,FM-AT-02,Validate guided-start tabs map to correct request payload fields
FM-AT-04,Implement contract tests for POST /api/intake/session response schema,Backend,P0,5,Backend,Not started,FM-AT-02,"Validate response schema for success, reduced_scope, needs_more_input, blocked"
FM-AT-05,Implement frontend route-decision mapping tests for intake outcomes,Frontend,P0,5,Frontend,Not started,"FM-AT-03, FM-AT-04",Test mapping between orchestrator response types and frontend route/state transitions
FM-AT-06,Implement optional-field degradation and malformed-payload safety tests,Frontend / Backend,P0,5,Frontend,Not started,"FM-AT-04, FM-AT-05",Ensure UI degrades safely on partial/malformed payloads
FM-AT-07,Implement Playwright smoke test for homepage to guided-start path,Frontend / QA,P0,3,QA,Not started,FM-AT-01,Create browser smoke test for homepage load and primary CTA routing
FM-AT-08,Implement E2E success-path test for guided start → reflection → direction,Frontend / QA,P0,5,QA,Not started,"FM-AT-02, FM-AT-05, FM-AT-07",Create primary happy-path browser test using strong success fixture
FM-AT-09,Implement E2E reduced-scope path test,Frontend / QA,P0,4,QA,Not started,"FM-AT-02, FM-AT-05",Test reduced-scope cases move through reflection and direction without breaking
FM-AT-10,Implement E2E recovery-path test for thin-input cases,Frontend / QA,P0,5,QA,Not started,"FM-AT-02, FM-AT-05",Test one-question recovery loop from thin-input through updated direction
FM-AT-11,Implement E2E blocked-path graceful-exit test,Frontend / QA,P0,4,QA,Not started,"FM-AT-02, FM-AT-05",Test blocked cases exit safely without hallucinating confidence
FM-AT-12,Implement E2E compare-screen route and render test,Frontend / QA,P0,4,QA,Not started,FM-AT-08,Test compare-screen access from strongest-direction result
FM-AT-13,Implement runtime and console-error checks across first-minute E2E suite,Frontend / QA,P0,3,Frontend,Not started,"FM-AT-07, FM-AT-08, FM-AT-09, FM-AT-10, FM-AT-11, FM-AT-12",Add browser-level assertions for uncaught exceptions and fatal errors
